Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
LCM/CSM Performance Report,Warning,,"	25/11/2025 01:30:54 +03:00",VNFM,10.253.100.107,OSS,Successful,Operation success
LCM/CSM Performance Report,Warning,,"	25/11/2025 01:30:26 +03:00",VNFM,10.253.124.166,OSS,Successful,Operation success
Query Trace Server Ftp Information,Minor,,"	25/11/2025 01:27:43 +03:00",Data Collection,10.119.10.104,OSS,Successful,"Function: [Data Collection Management][Basic Information Collection]
Query Trace Server Ftp Information Successful"
query current activities,Minor,,"	25/11/2025 01:26:59 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,,"	25/11/2025 01:26:58 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
Send Email,Warning,,"	25/11/2025 01:24:20 +03:00",ScriptModuleService,172.28.129.4,Network Management,Successful,Sender:Door Report.
query current activities,Minor,,"	25/11/2025 01:21:57 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,,"	25/11/2025 01:21:56 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
Send Email,Warning,,"	25/11/2025 01:18:00 +03:00",ScriptModuleService,172.28.129.4,Network Management,Successful,Sender:.
query current activities,Minor,,"	25/11/2025 01:16:55 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,,"	25/11/2025 01:16:54 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
LCM/CSM Performance Report,Warning,,"	25/11/2025 01:15:54 +03:00",VNFM,10.253.100.107,OSS,Successful,Operation success
query current activities,Minor,,"	25/11/2025 01:15:38 +03:00",OSSFaceService,172.23.14.90,query current activities,Successful,query current activities
Query the operator type,Minor,,"	25/11/2025 01:15:37 +03:00",NBIMgmtService,172.23.14.90,Obtain the operator type,Failed,Failed:Query the current operator type
LCM/CSM Performance Report,Warning,,"	25/11/2025 01:15:25 +03:00",VNFM,10.253.124.166,OSS,Successful,Operation success
query current activities,Minor,,"	25/11/2025 01:11:53 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,,"	25/11/2025 01:11:52 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
